,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Item,Quantity,Unit Price ($),Total Price ($),Running Total ($CAD with Tax),Running Total ($USD with Tax),URL
,,Gateron Milky Yellow Pro Switches,52,0.53,27.40,30.69,22.10,https://www.aliexpress.com/item/1005006425450443.html?spm=a2g0o.productlist.main.3.791aR2aWR2aWmK&algo_pvid=8b283858-4084-4f3b-82fe-3f81a4436418&algo_exp_id=8b283858-4084-4f3b-82fe-3f81a4436418-16&pdp_ext_f=%7B%22order%22%3A%22867%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%215.48%215.25%21%21%2126.87%2125.74%21%4021033d9d17684494329854020e1d6e%2112000037120671469%21sea%21CA%216478714770%21X%211%210%21n_tag%3A-29919%3Bd%3A565e79ad%3Bm03_new_user%3A-29895&curPageLogUid=EPGgqbmO0Cnq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006425450443%7C_p_origin_prod%3A
,,1N4148W Diodes,52,0.04,2.00,32.93,23.71,https://www.aliexpress.com/item/1005007536859190.html?spm=a2g0o.productlist.main.1.48163d00yJk0Pt&algo_pvid=4d9e16a0-69bc-49b8-be32-7fee54ccbf0c&algo_exp_id=4d9e16a0-69bc-49b8-be32-7fee54ccbf0c-0&pdp_ext_f=%7B%22order%22%3A%22214%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.00%212.00%21%21%219.80%219.80%21%40210311cc17684518784212812e9a3d%2112000041198924897%21sea%21CA%216478714770%21X%211%210%21n_tag%3A-29919%3Bd%3A565e79ad%3Bm03_new_user%3A-29895&curPageLogUid=TZetvVGMsiOd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007536859190%7C_p_origin_prod%3A
,,Seeed Studio XIAO nRF52840,2,17.24,34.47,71.53,51.50,https://www.aliexpress.com/item/1005006988954136.html?spm=a2g0o.productlist.main.2.7883D5YjD5Yj2T&algo_pvid=c3615109-2ac2-4b78-84bb-3bcf27a79c60&algo_exp_id=c3615109-2ac2-4b78-84bb-3bcf27a79c60-47&pdp_ext_f=%7B%22order%22%3A%22648%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2125.62%2113.58%21%21%21125.59%2166.57%21%4021030a6217684488519104159e92d4%2112000042942288177%21sea%21CA%216478714770%21X%211%210%21n_tag%3A-29919%3Bd%3A565e79ad%3Bm03_new_user%3A-29895&curPageLogUid=Ycx7lH26G2Io&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006988954136%7C_p_origin_prod%3A
,,PCB,1,24.81,24.81,99.32,71.51,https://cart.jlcpcb.com/quote?uploadNum=5d1831abd46f42499037482ac3ad0acb&businessType=example&fileName=split-keyboard-gerber&spm=Jlcpcb.Homepage.1007
,,Blank DSA Keycaps,50,0.43,21.30,123.18,88.69,https://www.aliexpress.com/item/32842379355.html?spm=a2g0o.productlist.main.1.715d1880qD4ZoQ&algo_pvid=2cc5005f-0331-4268-a913-e1dab5da077e&algo_exp_id=2cc5005f-0331-4268-a913-e1dab5da077e-0&pdp_ext_f=%7B%22order%22%3A%22134%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%219.33%218.89%21%21%216.56%216.25%21%402101c44f17687735673162799e68bf%2110000001467765198%21sea%21CA%216478714770%21X%211%210%21n_tag%3A-29919%3Bd%3A565e79ad%3Bm03_new_user%3A-29895&curPageLogUid=ZOJj1yK3HMuv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32842379355%7C_p_origin_prod%3A
,,M3 12mm screws,12,0.23,2.73,126.24,90.89,http://aliexpress.com/item/1005002333132596.html?spm=a2g0o.cart.0.0.3e7638datKNxLQ&mp=1&pdp_npi=6%40dis%21CAD%21CAD%202.89%21CAD%202.72%21%21CAD%202.72%21%21%21%40210311c217690522167721250ef5aa%2112000020201751629%21ct%21CA%216478714770%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
,,M3 heat inserts,12,0.23,2.74,129.30,93.10,https://www.aliexpress.com/item/1005003582355741.html?spm=a2g0o.detail.0.0.127byn3Jyn3J7l&mp=1&pdp_npi=6%40dis%21CAD%21CAD%203.66%21CAD%203.66%21%21CAD%203.66%21%21%21%40210319b017691917996838105e7a3e%2112000026370649758%21ct%21CA%216478714770%21%211%210%21
,,Power Switch,2,1.75,3.49,133.21,95.91,https://www.aliexpress.com/item/1005003938856402.html?spm=a2g0o.productlist.main.1.5add6a34Jx85Ga&algo_pvid=fcd0ffa2-4d32-4c65-bf0a-a5a8edd66842&algo_exp_id=fcd0ffa2-4d32-4c65-bf0a-a5a8edd66842-0&pdp_ext_f=%7B%22order%22%3A%22783%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.62%213.49%21%21%212.55%212.46%21%402101c44f17684529178871827e68a2%2112000053412230132%21sea%21CA%216478714770%21X%211%210%21n_tag%3A-29919%3Bd%3A565e79ad%3Bm03_new_user%3A-29895&curPageLogUid=fMl1OWkF7d3D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003938856402%7C_p_origin_prod%3A
,,1.75u Keycaps,2,4.69,9.38,143.72,103.48,https://www.aliexpress.com/item/1005007805199854.html?spm=a2g0o.cart.0.0.6a1d38daRGFQs3&mp=1&pdp_npi=6%40dis%21CAD%21CAD%2019.96%21CAD%209.38%21%21CAD%209.38%21%21%21%402103128917684528825807760e9ae8%2112000042261052435%21ct%21CA%216478714770%21%211%210%21
,,Hotswap Sockets,52,0.19,9.68,154.56,111.28,https://www.aliexpress.com/item/1005007232040760.html?spm=a2g0o.productlist.main.1.43eb6f2ejSnFgg&algo_pvid=89167dd2-9845-4353-86be-79a73c279069&algo_exp_id=89167dd2-9845-4353-86be-79a73c279069-0&pdp_ext_f=%7B%22order%22%3A%22569%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2121.04%219.68%21%21%21103.14%2147.45%21%402101e62517684499567607592e1bdf%2112000039893759775%21sea%21CA%216478714770%21X%211%210%21n_tag%3A-29919%3Bd%3A565e79ad%3Bm03_new_user%3A-29895&curPageLogUid=Rld8hQgIENFU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007232040760%7C_p_origin_prod%3A
